date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:47	118/118	---MCZ	200	added ('OK')	text/plain	date:Tue,%2018%20Sep%202018%2017:09:27%20GMT	http://hireanhacker.com/robots.txt		(from )
23:09:52	139095/139095	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202018%2017:09:27%20GMT	http://hireanhacker.com/	G:/hire%20an%20hacker/hireanhacker.com/index.html	(from )
23:09:54	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2018%20Sep%202018%2017:09:34%20GMT	http://hireanhacker.com/xmlrpc.php	G:/hire%20an%20hacker/hireanhacker.com/xmlrpc.php	(from http://hireanhacker.com/)
23:09:54	3722/3722	---MCZ	200	added ('OK')	text/css	date:Fri,%2002%20Mar%202018%2004:31:09%20GMT	http://hireanhacker.com/wp-content/plugins/builder-responsive-pricing-tables/assets/css/pricing-tables.css?ver=4.9.8	G:/hire%20an%20hacker/hireanhacker.com/wp-content/plugins/builder-responsive-pricing-tables/assets/css/pricing-tables5010.css	(from http://hireanhacker.com/)
23:09:54	1409/1409	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Mar%202018%2009:59:02%20GMT	http://hireanhacker.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	G:/hire%20an%20hacker/hireanhacker.com/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from http://hireanhacker.com/)
23:09:55	179901/179901	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20Mar%202018%2007:31:24%20GMT	http://hireanhacker.com/wp-content/plugins/quform/cache/quform.css?ver=1522135884	G:/hire%20an%20hacker/hireanhacker.com/wp-content/plugins/quform/cache/quform66d5.css	(from http://hireanhacker.com/)
23:09:56	29698/29698	---MCZ	200	added ('OK')	text/css	date:Sat,%2006%20Jan%202018%2018:05:00%20GMT	http://hireanhacker.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5.2	G:/hire%20an%20hacker/hireanhacker.com/wp-content/plugins/revslider/public/assets/css/settings8ab9.css	(from http://hireanhacker.com/)
23:09:56	367/367	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202017%2014:38:12%20GMT	http://hireanhacker.com/wp-content/plugins/revslider-particles-addon/public/assets/css/revolution.addon.particles.css?ver=1.0.4	G:/hire%20an%20hacker/hireanhacker.com/wp-content/plugins/revslider-particles-addon/public/assets/css/revolution.addon.particles4b68.css	(from http://hireanhacker.com/)
23:09:56	64517/64517	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Apr%202018%2011:22:25%20GMT	http://hireanhacker.com/wp-content/plugins/goodlayers-core/plugins/combine/style.css?ver=4.9.8	G:/hire%20an%20hacker/hireanhacker.com/wp-content/plugins/goodlayers-core/plugins/combine/style5010.css	(from http://hireanhacker.com/)
23:09:57	145261/145261	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Mar%202018%2023:56:09%20GMT	http://hireanhacker.com/wp-content/plugins/goodlayers-core/include/css/page-builder.css?ver=4.9.8	G:/hire%20an%20hacker/hireanhacker.com/wp-content/plugins/goodlayers-core/include/css/page-builder5010.css	(from http://hireanhacker.com/)
